title,number of ratings
Autumn Tale,1
Autumn in New York,5
Avalanche,1
Avalon,9
Avatar,67
Avengers: Age of Ultron,13
Awake,2
Awakenings,19
Away We Go,5
Away from Her,4
B.A.P.S.,2
BASEketball,12
BURN·E,4
BUtterfield 8,2
Baadasssss!,2
Babe,148
Babe: Pig in the City,30
Babel,16
Babes in Toyland,12
Babette's Feast,5
Babies,2
Baby Boom,5
Baby Boy,2
Baby Doll,2
Baby Geniuses,4
Baby Mama,1
Baby Take a Bow,1
Baby's Day Out,1
Baby: Secret of the Lost Legend,4
Babylon 5: A Call to Arms,3
Babylon 5: In the Beginning,7
Babylon 5: The River of Souls,2
Babylon 5: Thirdspace,2
Babylon A.D.,2
Bachelor Party,5
Bachelorette,1
Back Soon,1
Back in the Day,1
Back to School,14
Back to the Beach,4
Back to the Future,226
Back to the Future Part II,99
Back to the Future Part III,94
Backbeat,6
Backcountry,1
Backdraft,32
Backstage,1
Bad Asses on the Bayou,1
Bad Boy Bubby,2
Bad Boys,44
Bad Boys II,11
Bad Company,8
Bad Day at Black Rock,2
Bad Education,8
Bad Girls,6
Bad Grandpa,2
Bad Guy,1
Bad Influence,1
Bad Karma,1
Bad Lieutenant,8
Bad Moon,1
Bad News Bears,3
Bad Santa,19
Bad Taste,12
Bad Teacher,8
Bad Timing,1
Bad Words,2
Badlands,13
Bagdad Cafe,2
Baise-moi,1
Bajirao Mastani,1
Balance,1
Ball of Fire,3
Ballistic: Ecks vs. Sever,3
Balls of Fury,3
Balto,8
Bambi,34
Bambi Meets Godzilla,1
Bamboozled,3
Bana Masal Anlatma,1
Banana Joe,1
Bananas,19
Band of the Hand,2
Bandidas,1
Bandit Queen,1
Bandits,15
Bang Bang You're Dead,1
Bang the Drum Slowly,2
Bangkok Dangerous,1
Barabbas,1
Baraka,8
Baran,1
Barb Wire,15
Barbarella,21
Barbarians at the Gate,1
Barbershop,6
Barcelona,13
Barefoot,1
Barefoot in the Park,8
Barenaked in America,2
Barfly,1
Barney's Great Adventure,2
Barney's Version,3
Barry Lyndon,12
Barton Fink,23
Basic,5
Basic Instinct,56
Basic Instinct 2,1
Basket Case,4
Basket Case 2,1
Basket Case 3,1
Basquiat,8
Bastard Out of Carolina,2
Bat*21,1
Batman,200
Batman & Robin,47
Batman Begins,105
Batman Forever,129
Batman Returns,64
Batman v Superman: Dawn of Justice,8
Batman: Mask of the Phantasm,10
"Batman: The Dark Knight Returns, Part 1",5
"Batman: The Dark Knight Returns, Part 2",3
Batman: Under the Red Hood,4
Batman: Year One,1
Bats,4
Batteries not Included,7
Battle Beyond the Stars,1
Battle Cry,1
Battle Hymn,1
Battle Royale,26
Battle Royale II: Requiem,1
Battle for Terra,1
Battle for the Planet of the Apes,6
Battle: Los Angeles,8
Battlefield Earth,19
Battleground,1
Battleship,7
Battleship Potemkin,16
Battlestar Galactica: Razor,3
Battlestar Galactica: The Plan,1
Be Cool,3
Be Kind Rewind,8
Beach Blanket Bingo,3
Beach Party,2
Beaches,6
Bean,8
Beastly,1
Beastmaster 2: Through the Portal of Time,1
Beasts of No Nation,1
Beasts of the Southern Wild,5
Beat the Devil,5
Beau Pere,1
Beautiful Creatures,2
Beautiful Girls,22
Beautiful People,1
Beautiful Thing,8
Beauty Is Embarrassing,1
Beauty and the Beast,183
Beavis and Butt-Head Do America,46
Because I Said So,2
Because of Winn-Dixie,1
Becket,3
Becoming Jane,2
Bed and Board,1
Bed of Roses,19
Bedazzled,18
Bedknobs and Broomsticks,22
Bedlam,1
Bedrooms and Hallways,1
Bedtime Stories,1
Bee Movie,7
Beerfest,8
Beethoven,4
Beethoven's 2nd,3
Beetlejuice,104
Before Midnight,3
Before Night Falls,9
Before Sunrise,18
Before Sunset,17
Before and After,5
Before the Devil Knows You're Dead,5
Before the Fall,1
Before the Rain,2
Begin Again,5
Beginners,3
Beginning of the End,1
Behind Enemy Lines,12
Behind the Candelabra,3
Behind the Mask: The Rise of Leslie Vernon,1
Being Elmo: A Puppeteer's Journey,1
Being Human,2
Being John Malkovich,126
Being Julia,1
Being There,28
"Bell, Book and Candle",8
Belle de Jour,16
Belle Époque,1
Bells Are Ringing,1
Beloved,2
Below,1
Ben X,1
Ben-Hur,47
Ben-Hur: A Tale of the Christ,5
Bend It Like Beckham,41
Beneath the Planet of the Apes,8
Benji,8
Benji the Hunted,2
Benny & Joon,28
Benny's Video,4
Bent,1
Beowulf,8
Berlin Alexanderplatz,1
Berlin: Symphony of a Great City,1
Bernie,2
Besieged,2
Best Friends,1
Best Men,2
Best in Show,59
Best of Enemies,2
Best of the Best 2,1
Betrayed,1
Betsy's Wedding,2
Better Living Through Chemistry,1
Better Off Dead...,24
Better Than Chocolate,3
Betty Blue,4
Betty Fisher and Other Stories,1
Beverly Hills Chihuahua,2
Beverly Hills Cop,51
Beverly Hills Cop II,14
Beverly Hills Cop III,57
Beverly Hills Ninja,9
Beware of Mr. Baker,1
Bewitched,7
Beyond Bedlam,1
Beyond Rangoon,9
Beyond the Lights,1
Beyond the Mat,3
Beyond the Poseidon Adventure,2
Beyond the Sea,1
Beyond the Valley of the Dolls,2
Bhaji on the Beach,2
Bicentennial Man,18
Bicycle Thieves,23
Big,107
Big Daddy,29
Big Eden,1
Big Eyes,2
Big Fan,1
Big Fat Liar,3
Big Fish,55
Big Hero 6,21
Big Momma's House,8
Big Momma's House 2,1
"Big Mommas: Like Father, Like Son",1
Big Night,22
Big Nothing,3
Big Top Pee-wee,1
Big Trouble,2
Big Trouble in Little China,22
Bigger Stronger Faster*,2
Biggles,1
Biker Boyz,3
Bikini Beach,2
Bill & Ted's Bogus Journey,15
Bill & Ted's Excellent Adventure,40
Bill Cosby: Himself,7
Bill Cunningham New York,1
Bill Hicks: Relentless,1
Bill Hicks: Revelations,1
Billy Bathgate,1
"Billy Blazes, Esq.",1
Billy Elliot,43
Billy Jack,8
Billy Liar,1
Billy Madison,42
Billy's Hollywood Screen Kiss,5
Biloxi Blues,6
Bio-Dome,20
Bird,1
Bird on a Wire,9
Birdman,15
Birdman of Alcatraz,4
Birdy,7
Birthday Girl,2
Bite the Bullet,1
Bitter Moon,7
Biutiful,1
Black Beauty,12
"Black Cat, White Cat",3
Black Christmas,2
Black Death,1
Black Dynamite,6
"Black God, White Devil",1
Black Hawk Down,49
Black Knight,2
Black Mask,1
Black Mass,1
Black Moon,1
Black Narcissus,3
Black Orpheus,2
Black Rain,3
Black Robe,3
Black Sabbath,1
Black Sheep,23
Black Snake Moan,1
Black Sunday,1
Black Swan,34
Black Tar Heroin: The Dark End of the Street,1
Black Widow,1
Black and White,3
Blackadder Back & Forth,2
Blackadder's Christmas Carol,2
Blackbeard's Ghost,1
Blackboard Jungle,3
Blackfish,1
Blackhat,2
Blackmail,1
Blackrock,1
Blade,58
Blade II,22
Blade Runner,146
Blade: Trinity,12
Blades of Glory,14
Blame It on Rio,11
Blancanieves,1
Blank Check,4
Blankman,2
Blast from the Past,21
Blaze,1
Blazing Saddles,62
Blended,3
Bless the Child,4
Blind Beast,1
Blind Date,4
Blind Spot: Hitler's Secretary,1
Blink,9
Bliss,1
Blithe Spirit,1
Blood Beach,1
Blood Diamond,37
Blood Feast,1
Blood Simple,24
Blood Work,4
Blood and Black Lace,1
Blood and Wine,2
Blood for Dracula,1
"Blood, Guts, Bullets and Octane",1
Blood: The Last Vampire,2
BloodRayne,1
Bloodsport,4
Bloodsport II,3
Bloodsucking Freaks,1
Bloody Mama,1
Bloody Sunday,2
Blow,37
Blow Dry,1
Blow Out,3
Blow-Up,15
Blown Away,14
Blue Chips,3
Blue Collar,3
Blue Collar Comedy Tour: The Movie,2
Blue Crush,6
Blue Hawaii,4
Blue Is the Warmest Color,2
Blue Jasmine,2
Blue Ruin,2
Blue Sky,4
Blue Steel,2
Blue Streak,10
Blue Thunder,1
Blue Valentine,2
Blue Velvet,41
Blue in the Face,11
Blues Brothers 2000,15
Boat Trip,4
Bob & Carol & Ted & Alice,2
Bob Roberts,31
Bob le Flambeur,1
Bobby,1
Bobby Deerfield,1
Body,1
Body Double,2
Body Heat,22
Body Parts,2
Body Shots,2
Body Snatchers,12
Body of Evidence,2
Body of Lies,5
Bogus,1
Boiler Room,29
Boiling Point,1
Bolero: Dance of Life,1
Bolt,11
"Bon Voyage, Charlie Brown (and Don't Come Back!)",1
Bon voyage,1
Bone Tomahawk,1
Bonnie and Clyde,56
Boogeyman,1
Boogie Nights,62
Book of Shadows: Blair Witch 2,5
Boomerang,19
Booty Call,3
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,44
Bordello of Blood,3
Borgman,1
Born Free,3
Born Rich,1
Born Yesterday,14
Born in East L.A.,1
Born into Brothels,7
Born on the Fourth of July,24
Bossa Nova,1
Bottle Rocket,17
Bounce,10
Bound,27
Bound by Honor,3
Bound for Glory,4
Boundin',1
Bowfinger,51
Bowling for Columbine,58
Box of Moonlight,1
Boxcar Bertha,2
Boxing Helena,14
Boy,2
Boy A,3
Boy Crazy,1
Boy Culture,1
Boyhood,7
Boys,2
Boys Don't Cry,44
"Boys Life: Three Stories of Love, Lust, and Liberation",6
Boys and Girls,2
Boys on the Side,15
Boyz n the Hood,27
Braddock: Missing in Action III,1
Brain Damage,2
Braindead,11
Brainstorm,3
Brake,1
Brassed Off,5
Bratz,2
Brave,13
Braveheart,228
Brazil,62
Breach,5
Bread and Chocolate,2
Bread and Roses,2
Bread and Tulips,1
Breakdown,13
Breaker Morant,9
Breakfast at Tiffany's,44
Breakfast of Champions,1
Breakfast with Scot,1
Breakheart Pass,1
Breakin',1
Breakin' 2: Electric Boogaloo,1
Breaking Away,19
Breaking and Entering,1
Breaking the Waves,20
Breakout,1
Breathless,14
Brenda Starr,1
Brewster's Millions,11
Brian's Song,1
Brick,14
Brick Mansions,1
Bride & Prejudice,3
Bride Wars,5
Bride of Chucky,6
Bride of Frankenstein,8
Bride of Re-Animator,3
Bride of the Monster,3
Bridesmaids,8
Bridge of Spies,3
Bridge to Terabithia,4
Bridget Jones's Diary,71
Bridget Jones: The Edge of Reason,8
Brief Encounter,2
Brigadoon,3
Bright Eyes,2
"Bright Lights, Big City",4
Bright Young Things,1
Brighton Beach Memoirs,14
Bring It On,20
Bring It On Again,1
Bring Me the Head of Alfredo Garcia,1
Bringing Down the House,7
Bringing Out the Dead,21
Bringing Up Baby,30
Broadcast News,36
Broadway Danny Rose,4
Brokeback Mountain,29
Brokedown Palace,4
Broken,1
Broken Arrow,93
Broken Embraces,2
Broken Flowers,15
Broken Wings,1
Bronco Billy,4
Bronson,2
Brooklyn,1
Brooklyn's Finest,2
Brother,2
Brother 2,5
Brother Bear,5
Brother Can You Spare A Dime,1
Brother's Keeper,5
Brotherhood,2
Brotherhood of the Wolf,10
Brothers,1
Brubaker,2
Bruce Almighty,50
Brüno,4
Bubba Ho-tep,9
Bubble Boy,3
Buck,2
Buena Vista Social Club,13
Buffalo '66,14
Buffy the Vampire Slayer,15
Bugsy,2
Bugsy Malone,1
Bukowski - Born into This,1
Bull Durham,44
Bullet to the Head,2
Bulletproof,1
Bulletproof Monk,4
Bullets Over Broadway,40
Bullitt,3
Bully,7
Bulworth,31
Bunny Lake Is Missing,2
Bunny and the Bull,1
Bunraku,1
Burden of Dreams,3
Burglar,3
Burial Ground,1
Buried,4
Burke & Hare,1
Burlesque,1
Burma VJ: Reporting from a Closed Country,1
Burn After Reading,30
Burn Notice: The Fall of Sam Axe,1
Burn Up!,1
Burnt,1
Burnt Offerings,4
Burnt by the Sun,9
Bus 174,4
Bush's Brain,2
Buster Keaton: A Hard Act to Follow,1
But I'm a Cheerleader,5
Butch Cassidy and the Sundance Kid,75
Butterflies Are Free,1
Butterfly,1
Butterfly Kiss,2
Butterfly on a Wheel,1
Buying the Cow,1
By the Gun,1
By the Light of the Silvery Moon,1
Bye Bye Birdie,1
Bye Bye Love,1
C.H.U.D.,1
C.S.A.: The Confederate States of America,1
CB4,2
CRAZY,1
Cabaret,22
Cabin Boy,9
Cabin Fever,4
Cabin in the Sky,1
Caché,6
Cactus Flower,2
Caddyshack,54
Caddyshack II,4
Cadillac Man,3
Cadillac Records,1
Caesar Must Die,1
Café au Lait,1
Cake,1
Calamity Jane,2
Calendar Girls,4
California Split,2
Caligula,8
Call Me Kuchu,1
Call Northside 777,2
Callas Forever,1
Calvary,1
Camelot,2
Camille Claudel 1915,2
Camp,2
Camp Rock,2
Can't Buy Me Love,5
Can't Hardly Wait,14
Can't Stop the Music,1
Canadian Bacon,8
Candleshoe,3
Candy,1
Candyman,17
Candyman: Farewell to the Flesh,6
Cannery Row,1
Cannibal Holocaust,4
Cannonball,2
Cannonball Run II,1
Cape Fear,58
Capital,1
Capote,19
Captain America: Civil War,7
Captain America: The First Avenger,22
Captain America: The Winter Soldier,17
Captain Blood,2
Captain Corelli's Mandolin,6
Captain Horatio Hornblower R.N.,4
Captain January,1
Captain Phillips,10
Captain Ron,1
Captivity,1
Capturing the Friedmans,11
"Car 54, Where Are You?",1
Car Wash,2
Caramel,1
Carancho,1
Carandiru,2
Carbon Copy,1
Care Bears Movie II: A New Generation,1
Career Girls,3
Career Opportunities,1
Carlito's Way,32
Carmen,2
Carmen Jones,3
Carmen Miranda: Bananas Is My Business,1
Carnage,2
Carnal Knowledge,8
Carnival of Souls,3
Carnosaur,2
Carnosaur 2,2
Carnosaur 3: Primal Species,2
Carny,2
Carol,1
Carousel,1
Carpool,1
Carrie,42
Carrie Fisher: Wishful Drinking,1
Carried Away,2
Carriers,1
Carrington,11
Cars,25
Cars 2,4
Casa De Mi Padre,1
Casablanca,117
Casanova,3
Case 39,2
Cashback,5
Casino,88
Casino Royale,63
Casper,58
Cast Away,96
Castle Freak,2
Castle in the Sky,22
Casualties of War,2
Cat Ballou,11
Cat People,12
Cat on a Hot Tin Roof,17
Cat's Eye,8
Catch Me If You Can,99
Catch and Release,1
Catch-22,4
Catch.44,1
Catfish,5
Catfish in Black Bean Sauce,1
Cats,2
Cats & Dogs,6
Cats Don't Dance,4
Catwalk,1
Catwoman,7
Caught,3
Cave of Forgotten Dreams,1
